"Date of introduction";"Bill title";"Current Status";"Date - Passage / Withdrawal /Lapsing";"link";"Representative"
"2024-08-09 00:00:00";"The Andhra Pradesh Reorganisation (Amendment) Bill, 2024 (Insertion of new section 90A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/106 of 2024 AS89202445650PM.pdf?source=legislation";"Maddila Gurumoorthy"
"2024-08-09 00:00:00";"The Micro, Small and Medium Enterprises Development (Amendment) Bill, 2024 (Insertion of new sections 10A and 10B)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/71 of 2024 AS89202445901PM.pdf?source=legislation";"D M Kathir Anand"
"2024-08-09 00:00:00";"The Food Safety and Standards (Amendment) Bill, 2024 (Amendment of section 3,etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/88 of 2024 AS89202445843PM.pdf?source=legislation";"D M Kathir Anand"
"2024-08-09 00:00:00";"The Special Financial Assistance for Ancient Monuments and Archaeological Sites and Remains in the State of Tamil Nadu Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/82 of 2024 AS89202445811PM.pdf?source=legislation";"D M Kathir Anand"
"2024-07-26 00:00:00";"The High Court of Kerala (Establishment of a Permanent Bench at Thiruvananthapuram) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/27 of 2024 As Introduced726202445052PM.pdf?source=legislation";"Shashi Tharoor"
"2024-07-26 00:00:00";"The Transgender Persons (Protection of Rights) Amendment Bill, 2024 (Insertion of new sections 8A and 13A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/26 of 2024 As Introduced726202445124PM.pdf?source=legislation";"Shashi Tharoor"
"2024-07-26 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of article 81)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/61 of 2024 as726202444802PM.pdf?source=legislation";"Shashi Tharoor"
"2024-08-09 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of article 324, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/67 of 2024 AS89202445533PM.pdf?source=legislation";"Manish Tewari"
"2024-08-09 00:00:00";"The Intelligence Services (Powers and Regulation) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/78 of 2024 AS89202454426PM.pdf?source=legislation";"Manish Tewari"
"2024-08-09 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of article 80, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/86 of 2024 AS89202445513PM.pdf?source=legislation";"Manish Tewari"
"2024-07-26 00:00:00";"The Promotion of Rational Thought Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/41 As Introduced726202444957PM.pdf?source=legislation";"Benny Behanan"
"2024-07-26 00:00:00";"The Autism Spectrum Disorders (Recognition and Treatment) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/50 of 2024 As Introduced726202445254PM.pdf?source=legislation";"Benny Behanan"
"2024-07-26 00:00:00";"The Railways (Amendment) Bill, 2024 (Insertion of new section 24A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/31 of 2024 As introduced726202445212PM.pdf?source=legislation";"Alok Kumar Suman"
"2024-07-26 00:00:00";"The Flood and Drought Control Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/47 of 2024 As Introduced726202450043PM.pdf?source=legislation";"Alok Kumar Suman"
"2024-07-26 00:00:00";"The Special Economic Assistance to the State of Bihar Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/36 of 2024 AS726202450539PM.pdf?source=legislation";"Alok Kumar Suman"
"2024-08-09 00:00:00";"The Play Schools (Regulation) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/70 of 2024 AS89202445317PM.pdf?source=legislation";"Janardan Singh Sigriwal"
"2024-08-09 00:00:00";"The Orphans (Reservation of Posts in Government Establishments and Welfare) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/89 of 2024 AS89202445350PM.pdf?source=legislation";"Janardan Singh Sigriwal"
"2024-08-09 00:00:00";"The Rural Labour Welfare Fund Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/84 of 2024 AS89202445415PM.pdf?source=legislation";"Janardan Singh Sigriwal"
"2024-08-09 00:00:00";"The Solid Waste Management Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/81 of 2024 AS89202445624PM.pdf?source=legislation";"T Sumathy Alias Thamizhachi Thangapandian"
"2024-08-09 00:00:00";"The Special Financial Assistance to the State of Tamil Nadu Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/59 OF 2024 AS89202451058PM.pdf?source=legislation";"T Sumathy Alias Thamizhachi Thangapandian"
"2024-08-09 00:00:00";"The Compulsory Military Training in Schools and Other Educational Institutions Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/80 of 2024 AS89202445526PM.pdf?source=legislation";"Shrirang Appa Chandu Barne"
"2024-08-09 00:00:00";"The Visual Representation of Income Tax Collections Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/87 of 2024 AS89202445545PM.pdf?source=legislation";"Shrirang Appa Chandu Barne"
"2024-08-09 00:00:00";"The Glucotest Strips (Regulation and Price Control) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/68 of 2024 AS89202445605PM.pdf?source=legislation";"Shrirang Appa Chandu Barne"
"2024-08-09 00:00:00";"The Quality Education (Enhancing Through Internship) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/105 of 2024 AS89202445419PM.pdf?source=legislation";"Praniti Sushilkumar Shinde"
"2024-07-26 00:00:00";"The Airfare Regulatory Board Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/51 of 2024 As Introduced726202445029PM.pdf?source=legislation";"Shafi Parambil"
"2024-07-26 00:00:00";"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2024 (Amendment of long title, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/53 of 2024 As introduced726202445143PM.pdf?source=legislation";"Shafi Parambil"
"2024-08-09 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of the Seventh Schedule)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/85 of 2024 AS89202451021PM.pdf?source=legislation";"P P Chaudhary"
"2024-08-09 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of article 58)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/99 of 2024 AS89202451002PM.pdf?source=legislation";"P P Chaudhary"
"2024-08-09 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of the Seventh Schedule)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/94 of 2024 AS89202450937PM.pdf?source=legislation
";"P P Chaudhary"
"2024-07-26 00:00:00";"The Advocates (Amendment) Bill, 2024 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/42 of 2024 As Introduced726202445116PM.pdf?source=legislation";"Shrikant Eknath Shinde"
"2024-07-26 00:00:00";"The Orphan Child (Welfare and Development) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/32 of 2024 As Introduced726202445053PM.pdf?source=legislation";"Shrikant Eknath Shinde"
"2024-07-26 00:00:00";"The Right of Children to Free and Compulsory Education (Amendment) Bill, 2024 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/37 of 2024 As Introduced726202445238PM.pdf?source=legislation";"Shrikant Eknath Shinde"
"2024-07-26 00:00:00";"The Single Use Plastic (Regulation) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/46 of 2024 As Introduced726202444530PM.pdf?source=legislation";"Nishikant Dubey"
"2024-07-26 00:00:00";"The Victims of Floods caused due to heavy rains, cyclones and other reason (Rehabilitation and Welfare) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/29 of 2024 As introduced726202444714PM.pdf?source=legislation";"Nishikant Dubey"
"2024-07-26 00:00:00";"The Central Educational Institutions (Reservation in Admission) Amendment Bill, 2024 (Amendment of sections 2 and 3)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/49 of 2024 As Introduced726202444911PM.pdf?source=legislation";"Nishikant Dubey"
"2024-08-09 00:00:00";"The Backward Areas Development Board Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/100 of 2024 AS89202445359PM.pdf?source=legislation";"Navaskani K"
"2024-08-09 00:00:00";"The Ban on Entrance Examination in Professional Courses Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/95 of 2024 AS89202445442PM.pdf?source=legislation";"Navaskani K"
"2024-08-09 00:00:00";"The Overseas Workers (Welfare) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/52 OF 2024 AS89202445501PM.pdf?source=legislation";"Navaskani K"
"2024-07-26 00:00:00";"The Residential Schools (for Scheduled Castes and Scheduled Tribes) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/24 of 2024 AS726202444842PM.pdf?source=legislation";"Chandra Shekhar"
"2024-07-26 00:00:00";"The Reservation for the Scheduled Castes, the Scheduled Tribes and the Other Backward Classes in Private Sector Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/39 of 2024 As Introduced726202444910PM.pdf?source=legislation";"Chandra Shekhar"
"2024-07-26 00:00:00";"The Establishment of Schools upto Senior Secondary level Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/54 of 2024 As Introduced726202444938PM.pdf?source=legislation";"Chandra Shekhar"
"2024-08-09 00:00:00";"The Promotion of Organic Farming Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/90 of 2024 AS89202445603PM.pdf?source=legislation";"Rajkumar Chahar"
"2024-07-26 00:00:00";"The Commission for Regulation and Development of Information Technology Industry Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/33 of 2024 As Introduced726202445548PM.pdf?source=legislation";"C N Annadurai"
"2024-07-26 00:00:00";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2024 (Amendment of the Schedule)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/30 of 2024 As Introduced726202445455PM.pdf?source=legislation";"C N Annadurai"
"2024-07-26 00:00:00";"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2024 (Amendment of section 3)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/48 of 2024 As Introduced726202445355PM.pdf?source=legislation";"C N Annadurai"
"2024-07-26 00:00:00";"The Artists (Social Security) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/43 of 2014 As Introduced726202444518PM.pdf?source=legislation";"Ravindra Shukla Alias Ravi Kishan"
"2024-07-26 00:00:00";"The Traditional Fishermen (Protection and Welfare) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/28 of 2024 As Introduced726202444648PM.pdf?source=legislation";"Ravindra Shukla Alias Ravi Kishan"
"2024-07-26 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of Eighth Schedule)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/58 of 2024 AS726202444728PM.pdf?source=legislation";"Ravindra Shukla Alias Ravi Kishan"
"2024-07-26 00:00:00";"The Greenfield Infrastructure Development Boards Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/40 of 2024 AS726202444843PM.pdf?source=legislation";"Rajiv Pratap Rudy"
"2024-07-26 00:00:00";"The Constitution (Amendment) Bill, 2024 (Substitution of new article for article 48A, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/60 of 2024 AS726202445621PM.pdf?source=legislation";"Rajiv Pratap Rudy"
"2024-07-26 00:00:00";"The District Development and Monitoring Committee for Implementation of Central Sector and Centrally Sponsored Schemes Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/25 of 2024 As Introduced726202445003PM.pdf?source=legislation";"Rajiv Pratap Rudy"
"2024-07-26 00:00:00";"The Constitution (Amendment) Bill, 2024 (Amendment of article 43A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/56 of 2024 AS726202445156PM.pdf?source=legislation";"Dean Kuriakose"
"2024-07-26 00:00:00";"The Constitution (Amendment) Bill, 2024 (Insertion of new article 49A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/63 of 2024 AS726202445223PM.pdf?source=legislation";"Dean Kuriakose"
"2024-07-26 00:00:00";"The Rabies Control Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/34 of 2024 As Introduced726202444430PM.pdf?source=legislation";"Dean Kuriakose"
"2024-08-09 00:00:00";"The Compulsory Teaching of Sanskrit Language in Schools Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/76 of 2024 AS89202445630PM.pdf?source=legislation";"Smita Uday Wagh"
"2024-08-09 00:00:00";"The National Youth Commission Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/92 of 2024 AS89202445608PM.pdf?source=legislation";"Smita Uday Wagh"
"2024-08-09 00:00:00";"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2024 (Insertion of new section 5A, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/69 of 2024 AS89202445629PM.pdf?source=legislation";"Hibi Eden"
"2024-08-09 00:00:00";"The Air (Prevention and Control of Pollution) Amendment Bill, 2024 (Amendment of section 2, etc.)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/79 of 2024 AS89202445838PM.pdf?source=legislation";"Hibi Eden"
"2024-08-09 00:00:00";"The Airlines Passenger Services Authority Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/101 of 2024 AS89202445909PM.pdf?source=legislation";"Hibi Eden"
"2024-08-09 00:00:00";"The ASHA Workers (Regularisation of Service and Other Benefits) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/64 OF 2024 AS89202445317PM.pdf?source=legislation";"N K Premachandran"
"2024-08-09 00:00:00";"The Anganwadi Workers (Regularisation of Service and Welfare) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/72 of 2024 AS89202445338PM.pdf?source=legislation";"N K Premachandran"
"2024-08-09 00:00:00";"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2024 (Amendment of section 3 and Schedule II)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/91 of 2024 AS89202445159PM.pdf?source=legislation";"N K Premachandran"
"2024-08-09 00:00:00";"The Victims of Natural Lightning Disaster (Compensation) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/102 of 2024 AS89202445547PM.pdf?source=legislation";"V K Sreekandan"
"2024-08-09 00:00:00";"The High Court of Kerala (Establishment of a Permanent Bench at Palakkad) Bill, 2024";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/97 of 2024 AS89202445522PM.pdf?source=legislation";"V K Sreekandan"
"2024-08-09 00:00:00";"The All India Institute of Medical Sciences (Amendment) Bill, 2024 (Insertion of new section 3A)";"Pending";"";"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/83 of 2024 AS89202445253PM.pdf?source=legislation";"V K Sreekandan"
